# {
#    "BGSM": {
#       "DIMENSION": [3],
#       "ELEMENT_LABELS": [
#          "Bx (GSM)",
#          "By (GSM)",
#          "Bz (GSM)"
#       ],
#       "ELEMENT_NAMES": [
#          "Bx_GSM",
#          "By_GSM",
#          "Bz_GSM"
#       ],
#       "START_COLUMN": 1
#    },
#    "Epoch": {
#       "START_COLUMN": 0,
#       "UNITS": "UTC"
#    }
# }
 Epoch (UTC), Bx_GSM, By_GSM, Bz_GSM
2006-01-01T00:00Z,  2.34, -7.17, -0.58
2006-01-01T01:00Z,  2.75, -7.78,  0.55
2006-01-01T02:00Z,  2.65, -8.19, -0.11
2006-01-01T03:00Z,  3.31, -8.42,  1.13
2006-01-01T04:00Z,  4.04, -7.81,  3.52
2006-01-01T05:00Z,  4.55, -7.14,  3.94
2006-01-01T06:00Z,  5.55, -6.49,  5.63
2006-01-01T07:00Z,  4.96, -5.33,  7.61
2006-01-01T08:00Z,  3.91, -4.86,  8.36
2006-01-01T09:00Z,  5.59, -2.24,  7.88
2006-01-01T10:00Z,  6.74, -0.83,  7.22
2006-01-01T11:00Z,  5.64,  0.99,  7.29
2006-01-01T12:00Z,  7.26,  2.48,  6.36
2006-01-01T13:00Z,  8.68,  5.72, 10.09
2006-01-01T14:00Z,  9.62,  5.88, 10.15
2006-01-01T15:00Z,  7.07,  4.59, 11.31
2006-01-01T16:00Z,  5.97,  5.03,  9.48
2006-01-01T17:00Z,  4.30, 10.23,  4.99
2006-01-01T18:00Z,  6.80, -0.76,  5.51
2006-01-01T19:00Z,  1.27,  8.42,  4.21
2006-01-01T20:00Z,  0.12,  9.28,  3.98
2006-01-01T21:00Z, -2.26,  3.22,  5.01
2006-01-01T22:00Z, -1.34, -2.78,  5.44
2006-01-01T23:00Z, -2.01,  3.79,  7.03
